Counts,Freq,Cluster,Image
False Negative,517855,1,KPMP_uS-X001Y008_Annotations
False Positive,218983,1,KPMP_uS-X001Y008_Annotations
True Negative,1014171,1,KPMP_uS-X001Y008_Annotations
True Positive,322591,1,KPMP_uS-X001Y008_Annotations
False Negative,652617,2,KPMP_uS-X001Y008_Annotations
False Positive,407231,2,KPMP_uS-X001Y008_Annotations
True Negative,745109,2,KPMP_uS-X001Y008_Annotations
True Positive,268643,2,KPMP_uS-X001Y008_Annotations
False Negative,124975,3,KPMP_uS-X001Y008_Annotations
False Positive,715932,3,KPMP_uS-X001Y008_Annotations
True Negative,1231612,3,KPMP_uS-X001Y008_Annotations
True Positive,1081,3,KPMP_uS-X001Y008_Annotations
False Negative,84047,4,KPMP_uS-X001Y008_Annotations
False Positive,37348,4,KPMP_uS-X001Y008_Annotations
True Negative,1850414,4,KPMP_uS-X001Y008_Annotations
True Positive,101791,4,KPMP_uS-X001Y008_Annotations
False Negative,821756,1,KPMP_uS-X001Y009_Annotations
False Positive,257355,1,KPMP_uS-X001Y009_Annotations
True Negative,984524,1,KPMP_uS-X001Y009_Annotations
True Positive,9965,1,KPMP_uS-X001Y009_Annotations
False Negative,786861,2,KPMP_uS-X001Y009_Annotations
False Positive,61570,2,KPMP_uS-X001Y009_Annotations
True Negative,1223831,2,KPMP_uS-X001Y009_Annotations
True Positive,1338,2,KPMP_uS-X001Y009_Annotations
False Negative,51720,3,KPMP_uS-X001Y009_Annotations
False Positive,508316,3,KPMP_uS-X001Y009_Annotations
True Negative,1477277,3,KPMP_uS-X001Y009_Annotations
True Positive,36287,3,KPMP_uS-X001Y009_Annotations
False Negative,84665,4,KPMP_uS-X001Y009_Annotations
False Positive,291828,4,KPMP_uS-X001Y009_Annotations
True Negative,1646776,4,KPMP_uS-X001Y009_Annotations
True Positive,50331,4,KPMP_uS-X001Y009_Annotations
False Negative,16663,5,KPMP_uS-X001Y009_Annotations
False Positive,480811,5,KPMP_uS-X001Y009_Annotations
True Negative,1576028,5,KPMP_uS-X001Y009_Annotations
True Positive,98,5,KPMP_uS-X001Y009_Annotations
False Negative,199175,6,KPMP_uS-X001Y009_Annotations
False Positive,360960,6,KPMP_uS-X001Y009_Annotations
True Negative,1498724,6,KPMP_uS-X001Y009_Annotations
True Positive,14741,6,KPMP_uS-X001Y009_Annotations
False Negative,445292,1,KPMP_uS-X001Y010_Annotations
False Positive,147080,1,KPMP_uS-X001Y010_Annotations
True Negative,1114014,1,KPMP_uS-X001Y010_Annotations
True Positive,367214,1,KPMP_uS-X001Y010_Annotations
False Negative,324083,2,KPMP_uS-X001Y010_Annotations
False Positive,68790,2,KPMP_uS-X001Y010_Annotations
True Negative,1372703,2,KPMP_uS-X001Y010_Annotations
True Positive,308024,2,KPMP_uS-X001Y010_Annotations
False Negative,126720,3,KPMP_uS-X001Y010_Annotations
False Positive,178655,3,KPMP_uS-X001Y010_Annotations
True Negative,1754827,3,KPMP_uS-X001Y010_Annotations
True Positive,13398,3,KPMP_uS-X001Y010_Annotations
False Negative,7338,4,KPMP_uS-X001Y010_Annotations
False Positive,511916,4,KPMP_uS-X001Y010_Annotations
True Negative,1554346,4,KPMP_uS-X001Y010_Annotations
False Negative,480398,5,KPMP_uS-X001Y010_Annotations
